date,closing_price,prev_price_diff,opening_price,high_price,low_price,volume,company_name
2013.12.10,"1,440,000","14,000","1,441,000","1,451,000","1,431,000","155,112",삼성전자
2013.12.09,"1,454,000","26,000","1,440,000","1,454,000","1,440,000","139,938",삼성전자
2013.12.06,"1,428,000","12,000","1,454,000","1,454,000","1,428,000","182,949",삼성전자
2013.12.05,"1,440,000","8,000","1,433,000","1,446,000","1,422,000","209,593",삼성전자
2013.12.04,"1,432,000","29,000","1,450,000","1,453,000","1,431,000","216,880",삼성전자
2013.12.03,"1,461,000","6,000","1,464,000","1,478,000","1,457,000","155,972",삼성전자
2013.12.02,"1,467,000","27,000","1,500,000","1,503,000","1,467,000","149,756",삼성전자
2013.11.29,"1,494,000",0,"1,499,000","1,499,000","1,485,000","135,044",삼성전자
2013.11.28,"1,494,000","24,000","1,480,000","1,494,000","1,479,000","212,898",삼성전자
2013.11.27,"1,470,000","9,000","1,467,000","1,476,000","1,460,000","187,034",삼성전자
2013.11.26,"1,479,000","14,000","1,458,000","1,479,000","1,455,000","171,725",삼성전자
2013.11.25,"1,465,000","15,000","1,451,000","1,472,000","1,451,000","132,306",삼성전자
2013.11.22,"1,450,000","10,000","1,441,000","1,456,000","1,431,000","171,492",삼성전자
2013.11.21,"1,440,000","30,000","1,472,000","1,472,000","1,432,000","180,396",삼성전자
2013.11.20,"1,470,000","19,000","1,473,000","1,487,000","1,464,000","163,563",삼성전자
2013.11.19,"1,489,000","15,000","1,483,000","1,489,000","1,477,000","163,671",삼성전자
2013.11.18,"1,474,000","12,000","1,470,000","1,476,000","1,465,000","127,736",삼성전자
2013.11.15,"1,462,000","38,000","1,434,000","1,462,000","1,432,000","166,785",삼성전자
2013.11.14,"1,424,000","5,000","1,455,000","1,455,000","1,424,000","202,643",삼성전자
2013.11.13,"1,419,000","37,000","1,445,000","1,449,000","1,419,000","199,904",삼성전자
2013.11.12,"1,456,000","28,000","1,440,000","1,466,000","1,436,000","195,698",삼성전자
2013.11.11,"1,428,000","18,000","1,425,000","1,434,000","1,409,000","171,277",삼성전자
2013.11.08,"1,410,000","27,000","1,411,000","1,428,000","1,407,000","273,627",삼성전자
2013.11.07,"1,437,000","14,000","1,451,000","1,454,000","1,425,000","260,136",삼성전자
2013.11.06,"1,451,000","34,000","1,498,000","1,498,000","1,449,000","244,368",삼성전자
2013.11.05,"1,485,000","14,000","1,502,000","1,502,000","1,472,000","160,186",삼성전자
2013.11.04,"1,499,000","1,000","1,492,000","1,502,000","1,489,000","217,756",삼성전자
2013.11.01,"1,500,000","35,000","1,490,000","1,500,000","1,468,000","227,154",삼성전자
2013.10.31,"1,465,000","35,000","1,498,000","1,502,000","1,465,000","252,941",삼성전자
2013.10.30,"1,500,000","10,000","1,485,000","1,500,000","1,484,000","211,768",삼성전자
2013.10.29,"1,490,000","8,000","1,490,000","1,490,000","1,478,000","206,698",삼성전자
2013.10.28,"1,482,000","33,000","1,465,000","1,485,000","1,458,000","226,154",삼성전자
2013.10.25,"1,449,000",0,"1,450,000","1,452,000","1,433,000","134,706",삼성전자
2013.10.24,"1,449,000","7,000","1,431,000","1,449,000","1,429,000","178,313",삼성전자
2013.10.23,"1,442,000","13,000","1,464,000","1,464,000","1,436,000","171,969",삼성전자
2013.10.22,"1,455,000","9,000","1,460,000","1,460,000","1,434,000","247,065",삼성전자
